country,location,year1,year,Magnitude,Deaths,Latitude,Longitude,"IMPACTO.(DPTO), PROV(DPTO)",Population,Urban,Sector,
Peru,PERU,MAY 24 1940,1940,8.4,179,-10.5,-77,"(CALLAO), BARRANCA, LIMA, HUARAL, YAUYOS, HUAROCHIRI, CAJATAMBO, CAÑETE (LIMA), MARISCAL LUZURIAGA, CASMA, SANTA, HUAYLAS, YUNGAY, HUARAZ (ANCASH), CHINCHA, NASCA, PISCO, ICA (ICA), TRUJILLO, PATAZ (LA LIBERTAD), CHOTA, CAJAMARCA, HUALGAYOC (CAJAMARCA), SATIPO, TARMA, HUANCAYO (JUNIN), TAYACAJA, ANGARAES, HUANCAVELICA, CASTROVIRREYNA (HUANCAVELICA), LUCANAS (AYACUCHO), CHICLAYO (LAMBAYEQUE), CHACHAPOYAS (AMAZONAS), ABANCAY (APURIMAC), LA UNION, ISLAY, AREQUIPA (AREQUIPA), ALTO AMAZONAS (LORETO), (MOQUEGUA), (TACNA),  CHUMBIVILCAS, CUSCO (CUSCO), HUARMEY (ANCASH), MOYOBAMBA (SAN MARTIN), OXAPAMPA (PASCO), PAITA, (PIURA), (PUNO), SAN MARTIN (SAN MARTIN)",3807170,1,1,
Peru,"PERU: ICA, NAZCA",AGO 24 1942,1942,8.6,30,-15,-76,"(ICA), PARINACOCHAS, HUAMANGA, LUCANAS, CANGALLO, VICTOR FAJARDO (AYACUCHO), ISLAY, AREQUIPA, CARAVELI, CONDESUYOS, LA UNION, CAMANA, CASTILLA, (AREQUIPA), CAÑETE, LIMA, HUAURA, CAJATAMBO (LIMA), HUANCAVELICA (HUANCAVELICA), JAUJA, HUANCAYO (JUNIN), (CUSCO), MOQUEGUA, ILO (MOQUEGUA), CERRO DE PASCO, OXAPAMPA (PASCO)",2224430,1,1,
Peru,"PERU: YANACOA, PAMPAMARCA",ENE 31 1943,1943,5,75,-14.2,-71.5,"PAMPAMARCA, YANAOCA",26839,0,3,
Peru,PERU: PISCO,SET 29 1946,1946,7,,-14,-76.25,PISCO (ICA),29551,0,3,
Peru,"PERU: JOCAIBAMBA,CERRO ANGASCHAJ,CERRO SILLAPATA",NOV 10 1946,1946,7.3,1396,-8.5,-77.5,"(ANCASH), (AMAZONAS), (CAJAMARCA), (LA LIBERTAD), (LAMBAYEQUE), (HUANUCO), (PASCO), LIMA (LIMA), TARMA (JUNIN)",2830511,1,1,
Peru,"PERU: SATIPO,ANDAMARCA,ACOBAMBA,LA MERCED,VICTOC",NOV 01 1947,1947,7.3,233,-10.5,-75,"(JUNIN), (PASCO), HUANCAVELICA, CASTROVIRREYNA, ANGARAES (HUANCAVELICA), HUANUCO, LEONCIO PRADO (HUANUCO),(ANCASH), CHACHAPOYAS (AMAZONAS), (SAN MARTIN), UCAYALI, ALTO AMAZONAS, MAYNAS, LORETO (LORETO), CAJAMARCA (CAJAMARCA),  ANTA, MACHUPICCHU, CUSCO, LA CONVENCION (CUSCO), LA MAR, LUCANAS, CANGALLO (AYACUCHO), GRAU, COTABAMBAS, ABANCAY, ANDAHUAYLAS, ANTABAMBA (APURIMAC), (LIMA), (ICA), (MADRE DE DIOS)",3429557,1,1,
Peru,"PERU: AREQUIPA,MOQUEGUA,TACNA,TORATA,QUELLAVECO",DIC 08 1948,1948,,1,-17.4,-71,"(AREQUIPA), (MOQUEGUA), (TACNA)",390776,1,1,
Peru,PERU: CANETE,MAY 28 1948,1948,7,4,-13.1,-76.2,"LIMA, CANTA, HUAURA,CAÑETE, YAUYOS (LIMA), CHINCHA ALTA, PISCO, ICA (ICA), HUARAZ (ANCASH), HUANCAYO (JUNIN)",1249990,1,1,
Peru,PERU,JUN 22 1950,1950,4.9,,-15,-70,MOQUEGUA,41400,0,3,
Peru,PERU: CUSCO,MAY 21 1950,1950,6,120,-13.5,-72,CUSCO,542722,1,3,
Peru,"PERU:  ICA, CHIMBOTE, HUARAZ, CAJAMARCA, CUZCO, MOQUEGUA",DIC 10 1950,1950,7,4,-14.25,-75.75,"ICA, CASTROVIRREYNA (HVCA), HVCA (HVCA), AYACUCHO, LUCANAS (AYAC), CARAVELI (AREQUIPA),  LIMA (LIMA), CAÑETE (LIMA), HUAROCHIRI (LIMA), TARMA (JUNIN), JAUJA(JUNIN), HUANCAYO (JUNIN), SATIPO (JUNIN), ABANCAY (APURIMAC), ANDAHUAYLAS (APURIMAC), CAJAMARCA, CERRO DE PASCO (PASCO), SANTA (ANCASH), CUSCO (CUSCO), HUANUCO (HUANUCO), HUARAZ (ANCASH), MOQUEGUA",2913567,1,2,
Peru,PERU,MAY 16 1951,1951,5,,-15,-69.5,"MOQUEGUA, AREQUIPA (AREQUIPA)",213665,1,1,
